sector,subsector,component,unit,year,value,datatype
Real Sector,GDP and components,Private Investment,Percentage of GDP,2028,24.2,Projection
Real Sector,GDP and components,National savings,Percentage of GDP,2028,21.6,Projection
Real Sector,GDP and components,Government savings,Percetange of GDP,2028,2.1,Projection
Real Sector,GDP and components,Private savings,Percentage of GDP,2028,19.4,Projection
External sector,Exports,Exports of goods,"Million USD, Level",2028,4313.3,Projection
External sector,Exports,Exports of services,"Million USD, Level",2028,1394.9,Projection
External sector,Exports,Exports of goods & services,"Million USD, Level",2028,5708,Projection
External sector,Exports,Exports of goods & services,Percentage of GDP,2028,27.6,Projection
External sector,Imports,Imports of goods,"Million USD, Level",2028,6361.8,Projection
External sector,Imports,Imports of services,"Million USD,Level",2028,1238.1,Projection
External sector,Imports,Imports of goods & services,"Million USD, Level",2028,7600,Projection
External sector,Imports,Imports of goods & services,Percentage of GDP,2028,36.8,Projection
External sector,Trade balance,Trade balance,"Million USD, Level",2028,-2049,Projection
External sector,Trade balance,Trade balance,Percentage of GDP,2028,-9.9,Projection
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2028,-1675,Projection
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2028,-8.1,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2028,922.9,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2028,4.5,Projection
External sector,Tourism,Tourism Receipts,Percentage of GDP,2028,3.96,Projection
External sector,Tourism,Tourism Receipts,"Million USD, Level",2028,818,Projection
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2028,5.2,Projection
Debt sector,Debt,Central government debt,Percentage of GDP,2028,73.2,Projection
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2028,13.6,Projection
Debt sector,Debt,Central government external debt,Percentage of GDP,2028,59.6,Projection
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2028,6559.9,Projection
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2028,21.1,Projection
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2028,5137.5,Projection
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2028,16.6,Projection
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2028,708.5,Projection
Fiscal sector,Revenue,Grants,Percentage of GDP,2028,2.3,Projection
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2028,7494,Projection
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2028,24.1,Projection
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2028,4912.3,Projection
Fiscal sector,Expenditure,Expense,Percentage of GDP,2028,15.8,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2028,-934,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2028,-3.6,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2028,-6.14,Projection
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2028,10010,Projection
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2028,18,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2028,8112,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2028,16.8,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2028,1494.92,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2028,-6,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2028,1688,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2028,6,Projection
Other memo items,Population,Population,"Million, Level",2028,15.1,Projection
Other memo items,Population,Annual change in population,%,2028,2.2,Projection
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2028,1371,Projection
Other memo items,Laborforce,Employement to population,"Ratio, percent",2028,,Projection
Other memo items,Laborforce,Working age population,16+ years,2028,,Projection
Other memo items,Laborforce,Labour force participation rate,%,2028,,Projection
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2029,36909,Projection
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2029,22562,Projection
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2029,17673,Projection
Real Sector,GDP and components,Agriculture GDP,Constant prices,2029,3440,Projection
Real Sector,GDP and components,Industry GDP,Constant prices,2029,3774,Projection
Real Sector,GDP and components,Services,Constant prices,2029,8808,Projection
Real Sector,Inflation and other prices,GDP deflator,Percentage,2029,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2029,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2029,5,Projection
Real Sector,GDP and components,Total investment,Percentage of GDP,2029,30.8,Projection
Real Sector,GDP and components,Government investment,Percetange of GDP,2029,7.1,Projection
Real Sector,GDP and components,Private Investment,Percentage of GDP,2029,23.7,Projection
Real Sector,GDP and components,National savings,Percentage of GDP,2029,22.3,Projection
Real Sector,GDP and components,Government savings,Percetange of GDP,2029,3.2,Projection
Real Sector,GDP and components,Private savings,Percentage of GDP,2029,19.2,Projection
External sector,Exports,Exports of goods,"Million USD, Level",2029,4535.2,Projection
External sector,Exports,Exports of services,"Million USD, Level",2029,1489.7,Projection
External sector,Exports,Exports of goods & services,"Million USD, Level",2029,6025,Projection
External sector,Exports,Exports of goods & services,Percentage of GDP,2029,26.7,Projection
External sector,Imports,Imports of goods,"Million USD, Level",2029,6543.2,Projection
External sector,Imports,Imports of services,"Million USD,Level",2029,1283.5,Projection
External sector,Imports,Imports of goods & services,"Million USD, Level",2029,7826.7,Projection
External sector,Imports,Imports of goods & services,Percentage of GDP,2029,34.7,Projection
External sector,Trade balance,Trade balance,"Million USD, Level",2029,-2008,Projection
External sector,Trade balance,Trade balance,Percentage of GDP,2029,-8.9,Projection
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2029,-1653,Projection
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2029,-7.3,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2029,884.9,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2029,3.9,Projection
External sector,Tourism,Tourism Receipts,Percentage of GDP,2029,3.95,Projection
External sector,Tourism,Tourism Receipts,"Million USD, Level",2029,891.6,Projection
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2029,5.3,Projection
Debt sector,Debt,Central government debt,Percentage of GDP,2029,71,Projection
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2029,13.2,Projection
Debt sector,Debt,Central government external debt,Percentage of GDP,2029,57.8,Projection
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2029,7393.2,Projection
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2029,21.2,Projection
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2029,5849.9,Projection
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2029,16.8,Projection
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2029,764.5,Projection
Fiscal sector,Revenue,Grants,Percentage of GDP,2029,2.2,Projection
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2029,8370.2,Projection
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2029,24,Projection
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2029,5446,Projection
Fiscal sector,Expenditure,Expense,Percentage of GDP,2029,15.6,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2029,-977,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2029,-3.2,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2029,-5.7,Projection
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2029,11972,Projection
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2029,20,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2029,9498,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2029,16.9,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2029,1419.03,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2029,-5,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2029,1767,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2029,5,Projection
Other memo items,Population,Population,"Million, Level",2029,15.4,Projection
Other memo items,Population,Annual change in population,%,2029,2.2,Projection
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2029,1465,Projection
Other memo items,Laborforce,Employement to population,"Ratio, percent",2029,,Projection
Other memo items,Laborforce,Working age population,16+ years,2029,,Projection
Other memo items,Laborforce,Labour force participation rate,%,2029,,Projection
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2030,41400,Projection
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2030,24690,Projection
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2030,18903,Projection
Real Sector,GDP and components,Agriculture GDP,Constant prices,2030,3629,Projection
Real Sector,GDP and components,Industry GDP,Constant prices,2030,4118,Projection
Real Sector,GDP and components,Services,Constant prices,2030,9373,Projection
Real Sector,Inflation and other prices,GDP deflator,Percentage,2030,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2030,5,Projection
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2030,5,Projection
Real Sector,GDP and components,Total investment,Percentage of GDP,2030,29,Projection
Real Sector,GDP and components,Government investment,Percetange of GDP,2030,6.7,Projection
Real Sector,GDP and components,Private Investment,Percentage of GDP,2030,22.3,Projection
Real Sector,GDP and components,National savings,Percentage of GDP,2030,21.2,Projection
Real Sector,GDP and components,Government savings,Percetange of GDP,2030,-2.5,Projection
Real Sector,GDP and components,Private savings,Percentage of GDP,2030,23.6,Projection
External sector,Exports,Exports of goods,"Million USD, Level",2030,4706.6,Projection
External sector,Exports,Exports of services,"Million USD, Level",2030,1482.6,Projection
External sector,Exports,Exports of goods & services,"Million USD, Level",2030,6189,Projection
External sector,Exports,Exports of goods & services,Percentage of GDP,2030,25.1,Projection
External sector,Imports,Imports of goods,"Million USD, Level",2030,6507.3,Projection
External sector,Imports,Imports of services,"Million USD,Level",2030,1286.4,Projection
External sector,Imports,Imports of goods & services,"Million USD, Level",2030,7793.6,Projection
External sector,Imports,Imports of goods & services,Percentage of GDP,2030,31.6,Projection
External sector,Trade balance,Trade balance,"Million USD, Level",2030,-1801,Projection
External sector,Trade balance,Trade balance,Percentage of GDP,2030,-7.3,Projection
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2030,-1531,Projection
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2030,-6.2,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2030,809.6,Projection
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2030,3.3,Projection
External sector,Tourism,Tourism Receipts,Percentage of GDP,2030,3.56,Projection
External sector,Tourism,Tourism Receipts,"Million USD, Level",2030,878.4,Projection
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2030,5.4,Projection
Debt sector,Debt,Central government debt,Percentage of GDP,2030,70.4,Projection
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2030,13,Projection
Debt sector,Debt,Central government external debt,Percentage of GDP,2030,57.4,Projection
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2030,8361.9,Projection
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2030,21.4,Projection
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2030,6615.877052,Projection
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2030,17,Projection
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2030,822.8,Projection
Fiscal sector,Revenue,Grants,Percentage of GDP,2030,2.1,Projection
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2030,9461.9,Projection
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2030,24.2,Projection
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2030,6170,Projection
Fiscal sector,Expenditure,Expense,Percentage of GDP,2030,15.8,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2030,-1100,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2030,-3.2,Projection
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2030,-5.62,Projection
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2030,14034,Projection
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2030,17,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2030,11212,Projection
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2030,17.8,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2030,1391.64,Projection
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2030,-2,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2030,1829,Projection
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2030,4,Projection
Other memo items,Population,Population,"Million, Level",2030,15.7,Projection
Other memo items,Population,Annual change in population,%,2030,2.2,Projection
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2030,1569,Projection
Other memo items,Laborforce,Employement to population,"Ratio, percent",2030,,Projection
Other memo items,Laborforce,Working age population,16+ years,2030,,Projection
Other memo items,Laborforce,Labour force participation rate,%,2030,,Projection
